"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "XML", "JSON", "HTML", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ManageBookings.jsx", "JavaScript JSX", 609, 0, 0, 0, 0, 0, 0, 0, 78, 13, 700
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ManageCooffice.jsx", "JavaScript JSX", 114, 0, 0, 0, 0, 0, 0, 0, 0, 3, 117
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ManageCoofficeBookings.jsx", "JavaScript JSX", 107, 0, 0, 0, 0, 0, 0, 0, 0, 2, 109
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ManageListings.jsx", "JavaScript JSX", 343, 0, 0, 0, 0, 0, 0, 0, 11, 11, 365
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ManageRentalBookings.jsx", "JavaScript JSX", 100, 0, 0, 0, 0, 0, 0, 0, 0, 3, 103
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ManageRentals.jsx", "JavaScript JSX", 114, 0, 0, 0, 0, 0, 0, 0, 0, 3, 117
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ManageReports.jsx", "JavaScript JSX", 267, 0, 0, 0, 0, 0, 0, 0, 1, 23, 291
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ManageStaysBookings.jsx", "JavaScript JSX", 100, 0, 0, 0, 0, 0, 0, 0, 0, 2, 102
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ManageStaysListings.jsx", "JavaScript JSX", 114, 0, 0, 0, 0, 0, 0, 0, 0, 3, 117
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\ManageUsers.jsx", "JavaScript JSX", 232, 0, 0, 0, 0, 0, 0, 0, 3, 15, 250
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\PayoutModal.jsx", "JavaScript JSX", 155, 0, 0, 0, 0, 0, 0, 0, 0, 17, 172
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\PendingTasks.jsx", "JavaScript JSX", 121, 0, 0, 0, 0, 0, 0, 0, 0, 8, 129
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\Reports.jsx", "JavaScript JSX", 77, 0, 0, 0, 0, 0, 0, 0, 7, 3, 87
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\RevenueReportGenerator.jsx", "JavaScript JSX", 142, 0, 0, 0, 0, 0, 0, 0, 4, 18, 164
"c:\Users\HP\Desktop\Smash apartments\client\src\administrator\Settings.jsx", "JavaScript JSX", 66, 0, 0, 0, 0, 0, 0, 0, 0, 2, 68
"c:\Users\HP\Desktop\Smash apartments\client\src\components\Footer.jsx", "JavaScript JSX", 140, 0, 0, 0, 0, 0, 0, 0, 12, 8, 160
"c:\Users\HP\Desktop\Smash apartments\client\src\components\LanguageCurrencyModal.jsx", "JavaScript JSX", 300, 0, 0, 0, 0, 0, 0, 0, 2, 22, 324
"c:\Users\HP\Desktop\Smash apartments\client\src\components\Navbar.jsx", "JavaScript JSX", 368, 0, 0, 0, 0, 0, 0, 0, 4, 17, 389
"c:\Users\HP\Desktop\Smash apartments\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\Smash apartments\client\src\main.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\AddAirportPickup.jsx", "JavaScript JSX", 471, 0, 0, 0, 0, 0, 0, 0, 0, 17, 488
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\AddCarRentals.jsx", "JavaScript JSX", 489, 0, 0, 0, 0, 0, 0, 0, 1, 18, 508
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\AddCooffice.jsx", "JavaScript JSX", 661, 0, 0, 0, 0, 0, 0, 0, 0, 17, 678
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\AddListing.jsx", "JavaScript JSX", 106, 0, 0, 0, 0, 0, 0, 0, 0, 4, 110
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\AddStays.jsx", "JavaScript JSX", 572, 0, 0, 0, 0, 0, 0, 0, 0, 33, 605
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\AllInactiveListings.jsx", "JavaScript JSX", 89, 0, 0, 0, 0, 0, 0, 0, 1, 6, 96
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\AllPastBookings.jsx", "JavaScript JSX", 62, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\Editoffice.jsx", "JavaScript JSX", 659, 0, 0, 0, 0, 0, 0, 0, 0, 29, 688
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\Editrental.jsx", "JavaScript JSX", 550, 0, 0, 0, 0, 0, 0, 0, 0, 33, 583
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\Editservice.jsx", "JavaScript JSX", 489, 0, 0, 0, 0, 0, 0, 0, 4, 22, 515
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\Editstays.jsx", "JavaScript JSX", 555, 0, 0, 0, 0, 0, 0, 0, 4, 37, 596
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\Faq.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\Help.jsx", "JavaScript JSX", 62, 0, 0, 0, 0, 0, 0, 0, 0, 3, 65
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\HomaPartner.jsx", "JavaScript JSX", 145, 0, 0, 0, 0, 0, 0, 0, 25, 9, 179
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\ListingDetailsModal.jsx", "JavaScript JSX", 467, 0, 0, 0, 0, 0, 0, 0, 1, 32, 500
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\ManageBookings.jsx", "JavaScript JSX", 473, 0, 0, 0, 0, 0, 0, 0, 0, 11, 484
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\ManageEarnings.jsx", "JavaScript JSX", 78, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\ManageListings.jsx", "JavaScript JSX", 278, 0, 0, 0, 0, 0, 0, 0, 0, 9, 287
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\ManageReviews.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 2, 61
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\PayoutSettings.jsx", "JavaScript JSX", 125, 0, 0, 0, 0, 0, 0, 0, 1, 7, 133
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\PersonalInfo.jsx", "JavaScript JSX", 175, 0, 0, 0, 0, 0, 0, 0, 5, 10, 190
"c:\Users\HP\Desktop\Smash apartments\client\src\partner\ProfileSettings.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\HP\Desktop\Smash apartments\client\src\style.css", "CSS", 0, 2896, 0, 0, 0, 0, 0, 0, 11, 230, 3137
"c:\Users\HP\Desktop\Smash apartments\client\src\user\AirportPickups.jsx", "JavaScript JSX", 312, 0, 0, 0, 0, 0, 0, 0, 0, 14, 326
"c:\Users\HP\Desktop\Smash apartments\client\src\user\CarRentals.jsx", "JavaScript JSX", 276, 0, 0, 0, 0, 0, 0, 0, 0, 15, 291
"c:\Users\HP\Desktop\Smash apartments\client\src\user\CurrentBookings.jsx", "JavaScript JSX", 340, 0, 0, 0, 0, 0, 0, 0, 0, 14, 354
"c:\Users\HP\Desktop\Smash apartments\client\src\user\HomeUser.jsx", "JavaScript JSX", 98, 0, 0, 0, 0, 0, 0, 0, 0, 6, 104
"c:\Users\HP\Desktop\Smash apartments\client\src\user\ManageBookings.jsx", "JavaScript JSX", 72, 0, 0, 0, 0, 0, 0, 0, 0, 9, 81
"c:\Users\HP\Desktop\Smash apartments\client\src\user\ManageDetails.jsx", "JavaScript JSX", 138, 0, 0, 0, 0, 0, 0, 0, 1, 10, 149
"c:\Users\HP\Desktop\Smash apartments\client\src\user\ManagePayment.jsx", "JavaScript JSX", 160, 0, 0, 0, 0, 0, 0, 0, 1, 7, 168
"c:\Users\HP\Desktop\Smash apartments\client\src\user\OfficeSpaces.jsx", "JavaScript JSX", 264, 0, 0, 0, 0, 0, 0, 0, 0, 22, 286
"c:\Users\HP\Desktop\Smash apartments\client\src\user\PastAirportPickups.jsx", "JavaScript JSX", 100, 0, 0, 0, 0, 0, 0, 0, 0, 3, 103
"c:\Users\HP\Desktop\Smash apartments\client\src\user\PastBookings.jsx", "JavaScript JSX", 107, 0, 0, 0, 0, 0, 0, 0, 0, 4, 111
"c:\Users\HP\Desktop\Smash apartments\client\src\user\PastCarRentals.jsx", "JavaScript JSX", 104, 0, 0, 0, 0, 0, 0, 0, 0, 3, 107
"c:\Users\HP\Desktop\Smash apartments\client\src\user\PastOfficeSpaces.jsx", "JavaScript JSX", 104, 0, 0, 0, 0, 0, 0, 0, 0, 3, 107
"c:\Users\HP\Desktop\Smash apartments\client\src\user\Preferences.jsx", "JavaScript JSX", 221, 0, 0, 0, 0, 0, 0, 0, 15, 10, 246
"c:\Users\HP\Desktop\Smash apartments\client\src\user\ReviewModal.jsx", "JavaScript JSX", 266, 0, 0, 0, 0, 0, 0, 0, 1, 30, 297
"c:\Users\HP\Desktop\Smash apartments\client\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\HP\Desktop\Smash apartments\server\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\HP\Desktop\Smash apartments\server\controllers\authController.js", "JavaScript", 0, 0, 5362, 0, 0, 0, 0, 0, 435, 760, 6557
"c:\Users\HP\Desktop\Smash apartments\server\helpers\auth.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 2, 4, 30
"c:\Users\HP\Desktop\Smash apartments\server\index.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 2, 9, 30
"c:\Users\HP\Desktop\Smash apartments\server\models\adminactions.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\HP\Desktop\Smash apartments\server\models\booking.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\HP\Desktop\Smash apartments\server\models\cooffice.js", "JavaScript", 0, 0, 124, 0, 0, 0, 0, 0, 0, 3, 127
"c:\Users\HP\Desktop\Smash apartments\server\models\coofficebooking.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 2, 41
"c:\Users\HP\Desktop\Smash apartments\server\models\likeditem.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\HP\Desktop\Smash apartments\server\models\mediatag.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\HP\Desktop\Smash apartments\server\models\newsletter.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\HP\Desktop\Smash apartments\server\models\partnerearning.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\HP\Desktop\Smash apartments\server\models\payment_method.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\HP\Desktop\Smash apartments\server\models\payout.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\HP\Desktop\Smash apartments\server\models\receipts.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\HP\Desktop\Smash apartments\server\models\rentalbookings.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 1, 3, 55
"c:\Users\HP\Desktop\Smash apartments\server\models\rentals.js", "JavaScript", 0, 0, 110, 0, 0, 0, 0, 0, 0, 3, 113
"c:\Users\HP\Desktop\Smash apartments\server\models\reviews.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\HP\Desktop\Smash apartments\server\models\service.js", "JavaScript", 0, 0, 94, 0, 0, 0, 0, 0, 0, 4, 98
"c:\Users\HP\Desktop\Smash apartments\server\models\servicebooking.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\HP\Desktop\Smash apartments\server\models\stays_listing.js", "JavaScript", 0, 0, 108, 0, 0, 0, 0, 0, 0, 4, 112
"c:\Users\HP\Desktop\Smash apartments\server\models\user.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 1, 5, 78
"c:\Users\HP\Desktop\Smash apartments\server\models\usercomplaint.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\HP\Desktop\Smash apartments\server\models\userpreference.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\HP\Desktop\Smash apartments\server\models\vendorpayouts.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\HP\Desktop\Smash apartments\server\package-lock.json", "JSON", 0, 0, 0, 0, 2457, 0, 0, 0, 0, 1, 2458
"c:\Users\HP\Desktop\Smash apartments\server\package.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"c:\Users\HP\Desktop\Smash apartments\server\routes\authRoutes.js", "JavaScript", 0, 0, 203, 0, 0, 0, 0, 0, 0, 3, 206
"Total", "-", 22562, 2896, 6564, 92, 10141, 40, 5, 4, 701, 2348, 45353
